src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.21.0.5,172.21.0.3,46186,8443,2048,2026-01-25 17:59:52,0.092636,48167.01930135153,205.10384731637808,129.53927198929142,75.56457532708667,12,7,1733,2729,637,72,144.41666666666666,159.709871503159,1622,72,389.85714285714283,514.3271411886265,1622,72,234.8421052631579,357.1924533825744,127586.4487534626,240,140,20,3,0.005146444444444444,0.044014,0.0,0.01348316475058278,0.092636,0.044014,0.0,0.008421454545454544,0.016458153648591968,0.09258799999999999,0.047302,3.7e-05,0.015431333333333333,0.021478329937145692,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,234.8421052631579,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.41666666666666,389.85714285714283,0,12,7,1733,2729
172.21.0.5,172.21.0.3,46190,8443,2048,2026-01-25 17:59:52,0.05193,58578.856152513,365.87714230695167,231.08030040439053,134.79684190256114,12,7,1714,1328,637,72,142.83333333333334,158.4470644165496,335,72,189.71428571428572,108.011526217892,637,72,160.10526315789474,143.7556020828194,20665.673130193907,240,140,20,3,0.0028850000000000004,0.040797,0.0,0.009379008079512224,0.051930000000000004,0.041029,0.0,0.004720909090909092,0.011704761505508195,0.051907,0.049501,3.4e-05,0.008651166666666668,0.018270084614077614,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,160.10526315789474,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.83333333333334,189.71428571428572,0,12,7,1714,1328
172.21.0.5,172.21.0.3,46204,8443,2048,2026-01-25 17:59:52,0.054824,86677.36757624398,346.56354881073986,218.8822413541515,127.68130745658836,12,7,1732,3020,637,72,144.33333333333334,159.63935048170993,1913,72,431.42857142857144,614.2844518259452,1913,72,250.10526315789474,417.48834143656876,174296.51523545702,240,140,20,3,0.0030457777777777775,0.040181,0.0,0.009333277949571126,0.054824,0.040443,0.0,0.004984,0.011610531512381336,0.054792,0.051792,5.4e-05,0.009132,0.01908018400505264,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,250.10526315789474,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.33333333333334,431.42857142857144,0,12,7,1732,3020
172.21.0.5,172.21.0.3,49104,8443,2048,2026-01-25 17:59:53,0.055984,53711.77479279794,339.3826807659331,214.3469562732209,125.0357244927122,12,7,1693,1314,637,72,141.08333333333334,157.24368473451926,335,72,187.71428571428572,107.52370407856822,637,72,158.26315789473685,142.76400921405158,20381.562326869804,240,140,20,3,0.003110222222222222,0.047371,0.0,0.010810032524134214,0.055984,0.047694,0.0,0.005089454545454546,0.013562188267811736,0.055962,0.0535,3.5e-05,0.009327,0.01975598489066035,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,158.26315789473685,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.08333333333334,187.71428571428572,0,12,7,1693,1314
172.21.0.5,172.21.0.3,49118,8443,2048,2026-01-25 17:59:53,0.057997,483680.19035467354,396.5722364949911,241.3917961273859,155.18044036760523,14,9,1572,26480,366,72,112.28571428571429,84.73439896138368,8629,72,2942.222222222222,3475.6400138928134,8629,72,1219.6521739130435,2576.6008549974395,6638871.9659735365,280,180,20,3,0.0026362272727272727,0.0422,0.0,0.008806441221844477,0.057997,0.042374,0.0,0.004461307692307693,0.01114666116539364,0.057981000000000005,0.051671,6e-06,0.007247625000000001,0.01684917121060781,3,6,0,0,2,3,0,9,21,0,0,0.6428571428571429,1219.6521739130435,64240,65160,0,0,0,0,0,0,0,0,0,0,23187.0,4.0,0,368047619.0476190476190476190,112.28571428571429,2942.222222222222,0,14,9,1572,26480
172.21.0.5,172.21.0.3,49134,8443,2048,2026-01-25 17:59:53,0.051178,511919.18402438547,449.4118566571574,273.5550431826175,175.85681347453985,14,9,1843,24356,637,72,131.64285714285714,147.89649234846507,8624,72,2706.222222222222,3585.1006735524415,8624,72,1139.0869565217392,2573.2332548260974,6621529.383742911,280,180,20,3,0.002326272727272727,0.043536,0.0,0.009023994606209191,0.051177999999999994,0.043715,0.0,0.003936769230769231,0.011518662730568672,0.051153,0.048844,7e-06,0.006394125,0.01604703853081231,3,6,0,0,2,3,0,9,21,0,0,0.6428571428571429,1139.0869565217392,64240,65160,0,0,0,0,0,0,0,0,0,0,23182.0,4.0,0,313270270.2702702702702702703,131.64285714285714,2706.222222222222,0,14,9,1843,24356
172.21.0.5,172.21.0.3,49150,8443,2048,2026-01-25 17:59:53,0.09364,32112.345151644597,202.9047415634344,128.15036309269541,74.754378470739,12,7,1693,1314,637,72,141.08333333333334,157.24368473451926,335,72,187.71428571428572,107.52370407856822,637,72,158.26315789473685,142.76400921405158,20381.562326869804,240,140,20,3,0.005202222222222223,0.043182,0.0,0.013442319560732052,0.09364,0.04327,0.0,0.008512727272727274,0.01637676557083185,0.09359,0.049505,4e-05,0.015598333333333334,0.021863039462882455,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,158.26315789473685,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.08333333333334,187.71428571428572,0,12,7,1693,1314
172.21.0.5,172.21.0.3,49160,8443,2048,2026-01-25 17:59:54,0.062921,416379.26924238325,365.53773779819136,222.5012317032469,143.03650609494446,14,9,1843,24356,637,72,131.64285714285714,147.89649234846507,8624,72,2706.222222222222,3585.1006735524415,8624,72,1139.0869565217392,2573.2332548260974,6621529.383742911,280,180,20,3,0.0028600454545454537,0.043695,0.0,0.009251938806528718,0.062921,0.043931,0.0,0.004840076923076923,0.011700515277683869,0.062894,0.060295,8e-06,0.00786175,0.019820355406437593,3,6,0,0,2,3,0,9,21,0,0,0.6428571428571429,1139.0869565217392,64240,65160,0,0,0,0,0,0,0,0,0,0,23182.0,4.0,0,249268817.2043010752688172043,131.64285714285714,2706.222222222222,0,14,9,1843,24356
172.21.0.5,172.21.0.3,49170,8443,2048,2026-01-25 17:59:55,0.085915,33323.6338241285,197.8699877786184,116.39411045801081,81.47587732060757,10,7,1549,1314,637,72,154.9,168.8943160677706,335,72,187.71428571428572,107.52370407856822,637,72,168.41176470588235,147.65144122861048,21800.948096885815,200,140,20,3,0.0053696875,0.041811,0.0,0.013691046274476022,0.085915,0.042283,0.0,0.009546111111111111,0.017255862201611013,0.08587,0.042341,3.1e-05,0.014311666666666667,0.019567444064624847,3,4,0,0,2,3,0,7,15,0,0,0.7,168.41176470588235,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.9,187.71428571428572,0,10,7,1549,1314
172.21.0.5,172.21.0.3,49178,8443,2048,2026-01-25 17:59:56,0.045936,567245.733194009,457.15778474399167,261.23301985370955,195.92476489028215,12,9,1699,24358,637,72,141.58333333333334,157.56663052675697,10074,72,2706.4444444444443,3707.3342957233995,10074,72,1240.8095238095239,2741.4735804472475,7515677.392290251,240,180,20,3,0.0022968000000000003,0.041054,0.0,0.00890727161705536,0.045936,0.041232,0.0,0.004176,0.011737243303418243,0.045910999999999993,0.043354,7e-06,0.005738874999999999,0.014221439690107855,3,6,0,0,2,3,0,9,19,0,0,0.75,1240.8095238095239,64240,65160,0,0,0,0,0,0,0,0,0,0,23184.0,4.0,0,326535211.2676056338028169014,141.58333333333334,2706.4444444444443,0,12,9,1699,24358
